isbn,title,author,price,language,num_pages,date,rating,num_rating,category 1,category 2,category 3
9781471156267,It Ends With Us: The most heartbreaking novel you'll ever read : The most heartbreaking novel you'll ever read,Colleen Hoover,673.74,English,384,02 Aug 2016,4.44,814572,Contemporary Fiction,Romance,Romance Books
9781449474256,Milk and Honey,Rupi Kaur,677.7,English,208,08 Jul 2016,4.03,499407,Poetry Books,Poetry By Individual Poets,"Mind, Body & Spirit"
9780340733509,The Power of Now : (20th Anniversary Edition),Eckhart Tolle,663.47,English,224,07 Jan 2016,4.14,268800,Spirituality & Religious Experience,Religious & Spiritual Leaders,Spiritualism
9781472154668,Where the Crawdads Sing,Delia Owens,650.29,English,384,20 Dec 2019,4.46,1594153,Contemporary Fiction,Crime,Crime Fiction
9781841215655,Giraffes Can't Dance,Giles Andreae,679.86,English,32,01 May 2014,4.29,28355,Picture Books,Storybooks,Rhyming & Wordplay
9781509858637,This is Going to Hurt : Secret Diaries of a Junior Doctor,Adam Kay,647.82,English,304,19 Apr 2018,4.4,206351,"Biography: Science, Technology & Engineering",Memoirs,Medical
9781786892737,The Midnight Library : The No.1 Sunday Times bestseller and worldwide phenomenon,Matt Haig,665.82,English,304,18 Feb 2021,4.07,836985,Contemporary Fiction,People & Places
9781439199190,How to Win Friends and Influence People,Dale Carnegie,658.86,English,304,16 May 2011,4.21,775522,"Social, Group Or Collective Psychology",Management: Leadership & Motivation,Family & Relationships
9781853260414,The Great Gatsby,F. Scott Fitzgerald,596.69,English,144,01 Dec 1999,3.93,4352457,Classic Books & Novels
9780571334650,Normal People : One million copies sold,Sally Rooney,666.56,English,288,23 Jul 2019,3.85,750106,"Literary Studies: Classical, Early & Medieval","Literary Studies: Fiction, Novelists & Prose Writers",Contemporary Fiction
9781853261589,The Little Prince,Antoine de Saint-Exupery,590.28,English,112,01 Jan 1998,4.31,1679794,Children's Fiction,Classic Books for Children
9780141036144,1984 : The dystopian classic reimagined with cover art by Shepard Fairey,George Orwell,658.22,English,336,01 Oct 2008,4.19,3728937,Contemporary Fiction,Classic Books & Novels,Political & Legal
9781780671062,Secret Garden : An Inky Treasure Hunt and Colouring Book,Johanna Basford,672.07,English,96,15 Jun 2015,4.45,1870,Activity Books,Colouring & Painting Books,Children's Hobby & Gaming Books
9780996099936,Have You Filled A Bucket Today? : A Guide to Daily Happiness for Kids: 10th Anniversary Edition,Carol McCloud,671.82,English,32,01 Oct 2015,4.4,5201,Picture Books,PSHE,Bullying & Abuse
9780007513765,The Day the Crayons Quit,Drew Daywalt,670.93,English,40,31 Jul 2014,4.4,50530,Characters,Storybooks,Colours
9780141036137,Animal Farm : The dystopian classic reimagined with cover art by Shepard Fairey,George Orwell,664.29,English,112,01 Oct 2008,3.97,3197129,Contemporary Fiction,Classic Books & Novels,Political & Legal
9781846041242,Man's Search For Meaning : The classic tribute to hope from the Holocaust,Viktor E Frankl,679.89,English,160,06 Oct 2015,4.36,525216,Holocaust,World War 2 Books,Society & Culture: General
9780142405802,The Snail and the Whale,Julia Donaldson,655.03,English,32,04 Jun 2006,4.38,7749,Storybooks,Children's Fiction,Adventure Books for Kids
9780008172145,Eleanor Oliphant is Completely Fine,Gail Honeyman,678.28,English,400,05 Apr 2018,4.26,949149,Contemporary Fiction
9781408891384,The Song of Achilles,Madeline Miller,684.53,English,368,21 Sep 2017,4.41,691284,Contemporary Fiction,Fantasy,Fantasy Books
9780099511663,The Handmaid's Tale,Margaret Atwood,672.02,English,336,28 Jun 2011,4.12,1703184,Contemporary Fiction,Classic Books & Novels,Feminism & Feminist Theory
9780142501122,Room on the Broom,Julia Donaldson,647.08,English,32,25 Aug 2003,4.42,20325,Storybooks,Children's Fiction,Children's General Story Books
9781529029581,Before the Coffee Gets Cold,Toshikazu Kawaguchi,654.35,English,224,19 Sep 2019,3.74,76891,Contemporary Fiction,Fiction In Translation
9781409181637,"The Silent Patient : The record-breaking, multimillion copy Sunday Times bestselling thriller and Richard & Judy book club pick",Alex Michaelides,648.76,English,352,15 Jan 2020,4.14,933241,Contemporary Fiction,Crime,Crime Fiction
9781471136726,Ugly Love,Colleen Hoover,673.0,English,352,21 Jan 2016,4.27,452591,Contemporary Fiction,Romance,Romance Books
9780007215997,The Tiger Who Came to Tea,Judith Kerr,646.04,English,32,06 Feb 2006,4.25,15536,Picture Books,Characters,Storybooks
9780545261241,The Wonky Donkey,Craig Smith,641.04,English,24,30 Nov 2018,4.41,7368,Animal Stories,Funny Books for Kids
9781878424310,The Four Agreements : A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,675.25,English,160,07 Nov 1997,4.17,272772,Philosophy Of Mind,Indigenous Peoples,Personal Development
9781786495259,Call Me By Your Name,Andre Aciman,637.55,English,256,21 Dec 2017,4.15,330451,Contemporary Fiction,Erotic Fiction,Romance
9781398515697,Seven Husbands of Evelyn Hugo : Tiktok made me buy it!,Taylor Jenkins Reid,674.25,English,400,14 Oct 2021,4.48,863483,Contemporary Fiction,Romance,Romance Books
9780141340555,Roald Dahl's Marvellous Joke Book,Roald Dahl,631.16,English,128,06 Sep 2012,3.96,209,Activity Books,Classic Books for Children,Jokes & Humour
9780345514400,I Know Why the Caged Bird Sings,Maya Angelou,636.75,English,289,21 Apr 2009,4.27,465111,Biography: General,Autobiography: General,Biography: Literary
9780349134284,Everything I Never Told You,Celeste Ng,630.8,English,320,13 Nov 2014,3.86,428929,Contemporary Fiction
9781780552491,Brain Games For Clever Kids (R),Gareth Moore,606.26,English,192,01 Oct 2014,4.24,151,"Open Learning, Home Learning, Distance Education","Open Learning, Home Learning, Distance Education",Handicrafts
9781612680194,Rich Dad Poor Dad : What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,667.76,English,336,31 Oct 2018,4.11,476998,Management: Leadership & Motivation,Advice On Parenting,Personal Finance
9780553386691,The Whole-Brain Child : 12 Revolutionary Strategies to Nurture Your Child's Developing Mind,Daniel J. Siegel,711.8,English,192,29 Nov 2018,4.25,27772,Child & Developmental Psychology,Advice On Parenting,Child Care & Upbringing
9780340960196,Dune,Frank Herbert,670.66,English,592,23 Jul 2015,4.25,1033105,Contemporary Fiction,Science Fiction,Science Fiction
9781847394071,The Perks of Being a Wallflower : the most moving coming-of-age classic,Stephen Chbosky,669.75,English,240,10 Feb 2009,4.21,1469282,Contemporary Fiction
9781406338539,I Want My Hat Back,Jon Klassen,659.93,English,40,04 Oct 2012,4.32,29872,Picture Books,Storybooks,Animal Stories
9781471166204,They Both Die at the End : TikTok made me buy it! The international No.1 bestseller,Adam Silvera,658.85,English,384,07 Sep 2017,3.93,376599,Children's Fiction,Children's General Story Books,Romance Books for Teenagers
9780099549482,To Kill A Mockingbird : 60th Anniversary Edition,Harper Lee,636.79,English,320,29 Dec 2010,4.27,5170369,Contemporary Fiction,Classic Books & Novels,Historical Fiction
9781847382108,Dinosaurs Love Underpants,Claire Freedman,656.89,English,32,05 Jun 2008,3.92,2316,Picture Books,Storybooks,Children's Fiction
9780152632243,Possum Magic,Mem Fox,646.62,English,32,15 Sep 1991,4.18,8721,Storybooks,Children's Fiction,Children's General Story Books
9780142403877,The Gruffalo,Julia Donaldson,640.71,English,32,02 Mar 2006,4.43,38473,Children's General Story Books,Traditional,Animal Stories
9781780674872,Enchanted Forest : An Inky Quest & Colouring Book,Johanna Basford,682.03,English,84,25 Jun 2015,4.52,1721,Drawing,Illustration,Popular Psychology
9780152060305,Whoever You Are,Mem Fox,610.3,English,32,21 Apr 2007,4.17,3131,Picture Books,Children's Fiction,Children's General Story Books
9780007371464,Gangsta Granny,David Walliams,648.24,English,306,28 Feb 2013,4.27,19532,Funny Books for Kids
9780141988511,12 Rules for Life : An Antidote to Chaos,Jordan B. Peterson,696.83,English,448,07 May 2019,3.93,151344,Social & Political Philosophy,Popular Philosophy,Psychology
9781906040185,The Elegance of the Hedgehog,Muriel Barbery,689.59,English,320,28 May 2009,3.78,165786,Contemporary Fiction,Fiction In Translation
9781447279785,The 13-Storey Treehouse,Andy Griffiths,628.57,English,256,20 Mar 2015,4.02,10972,Children's Fiction,Children's General Story Books,Adventure Books for Kids
9781847941497,Never Split the Difference : Negotiating as if Your Life Depended on It,Chris Voss,681.81,English,288,23 Mar 2017,4.37,98890,Macroeconomics,Macroeconomics,Business Strategy
